Parameters:
  nodes               (unsigned)          1
Options:
  -l, --minblocksize  (bytes)             128
  -u, --maxblocksize  (bytes)             2048
nsteps: 4
Nodes, Procs, Round, NBytes, Blocksize, Algo, Rank, Ttotal, Tmerge, Tcomm
blocksize: 128
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 0, 6.50957e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 1, 5.95674e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 2, 6.42538e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 3, 6.67647e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 4, 6.51628e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 5, 6.3546e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 6, 5.95823e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 7, 5.52461e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 8, 5.74812e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 9, 5.94333e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 10, 6.23018e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake16, 11, 6.26519e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 0, 3.79905e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 1, 3.6113e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 2, 3.5055e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 3, 3.47048e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 4, 4.0859e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 5, 3.8065e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 6, 4.06578e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 7, 3.7916e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 8, 3.51369e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 9, 4.05759e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 10, 4.1835e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor4, 11, 3.98755e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 0, 3.76403e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 1, 3.93167e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 2, 3.80576e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 3, 3.82736e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 4, 3.73721e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 5, 3.93242e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 6, 4.08515e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 7, 4.12092e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 8, 3.86164e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 9, 3.92571e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 10, 4.01661e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor8, 11, 3.54052e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 0, 3.37362e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 1, 2.98247e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 2, 3.17842e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 3, 3.56287e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 4, 3.37362e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 5, 3.36543e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 6, 3.37362e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 7, 3.17842e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 8, 3.40864e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 9, 3.65302e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 10, 3.56212e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeOneFactor16, 11, 3.17767e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 2, 5.09843e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 3, 4.3653e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 4, 5.41285e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 5, 4.80562e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 6, 5.67883e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 7, 4.749e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 8, 4.88907e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 9, 4.85405e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 10, 4.76316e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 11, 4.36455e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 0, 6.78152e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 1, 5.37708e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 0, 5.9016e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 1, 5.804e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 2, 5.89415e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 3, 5.804e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 4, 5.9016e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 5, 5.51715e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 6, 5.99921e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 7, 5.60805e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 8, 5.60135e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 9, 5.90086e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 10, 5.60805e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 11, 6.0901e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 0, 3.10764e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 1, 3.84822e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 2, 3.65973e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 3, 4.29526e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 4, 4.25354e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 5, 3.93912e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 6, 3.86983e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 7, 3.85493e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 8, 3.65973e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 9, 3.84822e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 10, 3.98085e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 11, 3.17842e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake4, 0, 4.42788e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake4, 1, 4.72814e-05, 0, 0
